title;alias;type;catid;short_description;description;geodata;latitude;longitude;geo_x;geo_y;geo_z;zoom;address;addr_no;addr_addinfo;zip_code;city;region;country;phone;url;email;additional_fields;image;icons;published;created;modified
WC U-Bahnhof Stiglmaierplatz;wc-bahnhof-stiglmaierplatz;toilet;188;Die behindertengerechte Toilette ist geschlossen. (Mai 2021);;1;481.475.266;115.586.581;41.646.198.670.958;85.174.254.094.644;47.455.365.351.595;14;Johann-Fichte-Str. 12;;;80805;MÃ¼nchen;;DE;089 3 56 88 08;https://www.cbf-muenchen.de/der-cbf/kontakt;info@cbf-muenchen.de;"{""wc_shortname"":""bf-stiglm1WC"",""wc_plan"":""bf-stiglm1WC1"",""wc_fotos"":""bf-stiglm1fWC1"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":"""",""wc_easy"":"""",""wc_euro"":""1"",""wc_doorknob"":"""",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":""100"",""wc_room_diameter"":""120"",""wc_roominfos"":""<p>Gleich rechts neben der T\u00fcr ist ein <strong>Klappsitz<\/strong> an der Wand angebracht.<\/p>"",""wc_seat"":""48"",""wc_accessleft"":""70"",""wc_accessright"":"""",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lr"",""wc_addinfo"":""<p>Auf der rechten Seite ist nur 40 cm Platz bis zur Wand.<\/p>""}";"{""image_small"":""images\/wc-af\/a-WC-verschwunden.jpg"",""image"":""images\/wc-header\/bf-stiglm1f2.jpg"",""alt"":"""",""caption"":"""",""width"":""100%"",""height"":""0""}";"{""0"":""21""}";0;3/3/2015 15:09;10/06/2021 08:10
WC Bad Georgenschwaige Damen ;wc-bad-georgenschwaige-damen;toilet;187;Bedingt Ã¶ffentliche Toilette in einem Freibad.;<p>Das <strong>Damen-WC</strong> ist im Umkleidebau, ganz hinten links auf dem BadegelÃ¤nde. <br />Der Zugang ist genau wie der zur rollstuhlgerechten Damenumkleide.</p>;1;4.817.566;1.157.174;41.621.419.913.503;85.222.587.430.284;4.747.623.205.669;14;Belgradstr.;195;;80804;MÃ¼nchen;;DE;;;;"{""wc_shortname"":""ba-george1WC1"",""wc_plan"":""ba-george1WC1"",""wc_fotos"":""ba-george1WC1f1.jpg"",""wc_location"":""<p>Das WC ist im Nassbereich untergebracht, gleich neben den Duschen.<\/p>"",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":"""",""wc_easy"":""Die Toilette ist gut."",""wc_euro"":""0"",""wc_doorknob"":""102"",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":""85"",""wc_room_diameter"":""130"",""wc_roominfos"":""<p>Das Waschbecken ist au\u00dferhalb des WC-Raums, direkt links daneben, Oberkante 83cm unterfahrbar bis auf 71 cm lichte H\u00f6he in 30 cm Tiefe.<\/p>"",""wc_seat"":""49"",""wc_accessleft"":""85"",""wc_accessright"":""93"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lr"",""wc_addinfo"":""<p>Seitlich hinter dem WC ist auf 100 cm ein Taster zum Ausl\u00f6sen der Sp\u00fclung angebracht.<\/p>""}";"{""image_small"":""images\/wc-af\/ba-george1WC1f1.jpg"",""image"":""images\/wc-header\/ba-george1WC1f2q.jpg"",""alt"":""Bad Georgenschwaige"",""caption"":""DamenWC Wasch- und WC-Becken."",""width"":""100%"",""height"":""0""}";"{""0"":""4"",""1"":""11""}";1;3/3/2015 16:25;09/08/2021 09:21
WC Bad Georgenschwaige Herren;wc-bad-georgenschwaige-herren;toilet;187;Bedingt Ã¶ffentliche Toilette in einem Freibad.;"<p>Das <strong>Herren-WC ist im Umkleidebau</strong>, ganz hinten links auf dem BadegelÃ¤nde.</p>
<p>Der Herrentrakt ist hinter dem Damentrakt. Das WC ist neben der allgemeinen Herrendusche.</p>";1;4.817.566;1.157.174;41.621.419.913.503;85.222.587.430.284;4.747.623.205.669;14;Belgradstr.;195;;80804;MÃ¼nchen;;DE;;;;"{""wc_shortname"":""ba-george1WC2"",""wc_plan"":""ba-george1WC2"",""wc_fotos"":""ba-george1WC2f1"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":"""",""wc_easy"":""Die Toilette ist okay.\r\nMan kann den WC-Sitz von der  linken Seite anfahren.\r\nEs gibt nur einen B\u00fcgel links."",""wc_euro"":""0"",""wc_doorknob"":""102"",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":""85"",""wc_room_diameter"":""100"",""wc_roominfos"":""<p>Das Waschbecken ist au\u00dferhalb des WC-Raums, direkt links davor, Oberkante 83cm, unterfahrbar bis auf 71 cm lichte H\u00f6he in 30 cm Tiefe.<\/p>"",""wc_seat"":""46"",""wc_accessleft"":""90"",""wc_accessright"":"""",""wc_numgrip"":""ein"",""wc_wheregrip"":""l"",""wc_addinfo"":""<p>Rechts an der Wand ist in 80 cm H\u00f6he die Sp\u00fclung angebracht.<\/p>""}";"{""image_small"":""images\/wc-af\/ba-george1WC2f1.jpg"",""image"":""images\/wc-header\/ba-george1WC2f1q.jpg"",""alt"":"""",""caption"":""Herren WC Wasch- und WC-becken."",""width"":""100%"",""height"":""0""}";"{""0"":""6"",""1"":""20""}";1;3/3/2015 16:37;09/08/2021 09:21
WC Freibad Unterhaching;wc-freibad-unterhaching;toilet;212;Bedingt Ã¶ffentliche Toilette mit Dusche in einem Freibad, mit Euroschloss.;<p>Das rollstuhlgerechte WC des Unterhachinger Freibads ist zusammen mit der Umkleide und der Dusche vom Eingang her gesehen hinten links, nach den anderen Umkleiden.</p>;1;480.619.761;116.208.199;41.706.291.906.759;85.768.670.484.823;47.391.841.777.049;14;Schrenkstr.;2;;82008;Unterhaching;Bayern;Deutschland;089 6 11 40 51;;;"{""wc_shortname"":""ba-unterh1WC"",""wc_plan"":""ba-unterh1WC"",""wc_fotos"":"""",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""<p>Das WC-Becken ist schr\u00e4g links gegen\u00fcber von der T\u00fcr, links neben dem Waschbecken.<\/p>"",""wc_easy"":""Die Toilette ist gut. \r\nEs gibt eine Dusche.\r\nMan kann den WC-Sitz von beiden Seiten anfahren."",""wc_euro"":""1"",""wc_doorknob"":""100"",""wc_doortaster"":"""",""wc_dooropens"":""nz"",""wc_doorautopen"":""nz"",""wc_door_width"":""75"",""wc_room_diameter"":""100"",""wc_roominfos"":""<p>Zwischen Umkleide und Duschbad ist eine Schiebet\u00fcr, die nach links \u00f6ffnet. Gegen\u00fcber vom WC-Becken ist eine bodengleiche <strong>Dusche<\/strong>\u00a0 mit eingeh\u00e4ngtem Duschsitz. An der Decke sind zwischen der Dusche und dem WC-Becken zwei <strong>Strickleitern<\/strong> an der Decke angebracht. Sie waren im M\u00e4rz 2015 hochgebunden und daher nicht erreichbar. Das Waschbecken h\u00e4ngt gegen\u00fcber von der T\u00fcr, Oberkante 87 cm und ist unterfahrbar bis auf 75 cm lichte H\u00f6he und 30 cm Tiefe. \u00dcber dem Waschbecken h\u00e4ngt ein Kippspiegel, den man am Spiegel direkt anfasst, um ihn zu kippen. Die Spiegelunterkante ist auf 100 cm. Auf beiden Seiten des Waschbeckens sind feste Griffe montiert.<\/p>"",""wc_seat"":""47"",""wc_accessleft"":""75"",""wc_accessright"":""105"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lr"",""wc_addinfo"":""""}";"{""image_small"":""images\/wc-af\/ba-unterh1WC1f1.jpg"",""image"":""images\/wc-header\/ba-unterh1WC1f1q.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit Dusche, Duschsitz, Wc- und Waschbecken."",""width"":""100%"",""height"":""0""}";"{""0"":""4"",""1"":""8"",""2"":""11""}";1;3/3/2015 17:08;10/06/2021 08:10
WC U-Bahnhof MÃ¼nchner Freiheit;wc-bahnhof-muenchner-freiheit;toilet;188;"Ã–ffentliche Toilette im U-Bahnhof, zugÃ¤nglich mit EuroschlÃ¼ssel.
";<p>Das rollstuhlgerechte WC des U-Bahnhofs MÃ¼nchner Freiheit ist im Zwischengeschoss am Ende des Ganges nach Norden. Man fÃ¤hrt mit einem Aufzug, der zwischen U-Bahnabgang und Karstadt auf dem Gehweg steht. ins Zwischengeschoss (TÃ¼rbreite 95 cm, KabinenmaÃŸ 120x190 cm). Der Weg zum WC ist ab da ausgeschildert.</p>;1;481.622.924;115.870.025;41.629.998.019.931;85.355.701.598.292;47.466.318.657.625;14;MÃ¼nchner Freiheit;;;80802;MÃ¼nchen;;DE;089 54 36 97 44;;;"{""wc_shortname"":""bf-muefre1WC"",""wc_plan"":""bf-muefre1WC1"",""wc_fotos"":""bf-muefre1WC1f1"",""wc_location"":""<p>Rechts vor der T\u00fcr ist eine kleine S\u00e4ule mit zwei Eurozylindern zum \u00d6ffnen der T\u00fcr.<\/p>"",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":"""",""wc_easy"":""Die Toilette ist gut.\r\nAber der WC-Sitz ist sehr hoch"",""wc_euro"":""1"",""wc_doorknob"":""85"",""wc_doortaster"":""85"",""wc_doorsensor"":""1"",""wc_dooropens"":""nz"",""wc_doorautopen"":""ar"",""wc_door_width"":""85"",""wc_room_diameter"":""150"",""wc_roominfos"":""<p>Der B\u00fcgel an der T\u00fcrinnenseite ist eigentlich \u00fcberfl\u00fcssig, da die T\u00fcr automatisch schlie\u00dft. Das Waschbecken h\u00e4ngt gegen\u00fcber von der T\u00fcr auf Oberkante 79 cm und ist auf 68 cm unterfahrbar. Dr\u00fcber h\u00e4ngt ein gut einsehbarer Spiegel. Links vom Waschbecken ist eine<strong> Ablagefl\u00e4che.<\/strong><\/p>"",""wc_seat"":""46"",""wc_accessleft"":""105"",""wc_accessright"":""100"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lr"",""wc_addinfo"":""<p>Aus der Sitzposition gesehen h\u00e4ngt links vom WC-Becken eine Notrufschnur bis auf 63 cm herunter. Die Sp\u00fclung l\u00e4\u00dft sich in beiden B\u00fcgeln ausl\u00f6sen.<\/p>""}";"{""image_small"":""images\/wc-af\/bf-muefre1WC1f1.jpg"",""image"":""images\/wc-header\/bf-muefre1WC1f1q.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit WC- und Waschbecken."",""width"":""100%"",""height"":""auto""}";"{""0"":""4"",""1"":""11"",""2"":""12""}";1;4/3/2015 17:02;10/06/2021 08:09
WC Dynasty Unterhaching;wc-dynasty-unterhaching;toilet;212;HalbÃ¶ffentliche Toilette in einem Lokal.;<p>Auf dem Weg zum Haupteingang ist eine Schwelle von 2,5 cm. Die DoppelflÃ¼geltÃ¼r Ã¶ffnet auf 2x85 cm nach auÃŸen. Dann geht es durch einen Windfang von 200x200 cm geradeaus durch. Im Windfang steht hinten links eine groÃŸe Vase. Die TÃ¼r hinter dem Windfang steht meist offen. Sie gleicht der ersten.</p>;1;480.556.938;116.076.273;41.713.355.502.153;85.683.092.681.954;47.387.172.832.272;14;Inselkammerstr.;3;;82008;Unterhaching;Bayern;Deutschland;089 6 14 73 97;http://www.china-restaurant-dynasty.de;;"{""wc_shortname"":""dynast1"",""wc_plan"":""dynast1WC"",""wc_fotos"":""dynast1WC1f1"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""<p>Das WC befindet sich im Erdgeschoss des Lokals.<br \/>Sie k\u00f6nnen das Personal schon im Vorfeld bitten den Wickeltisch (der auf Rollen montiert ist) rauszufahren. Der Lichtschalter ist auf 110 cm.<\/p>"",""wc_easy"":""Der Toiletten-Raum ist eng.\r\nMan kann den WC-Sitz von der linken Seite anfahren."",""wc_euro"":""ka"",""wc_doorknob"":""105"",""wc_doortaster"":"""",""wc_dooropens"":""ir"",""wc_doorautopen"":""nz"",""wc_door_width"":""90"",""wc_room_diameter"":""110"",""wc_roominfos"":"""",""wc_seat"":""49"",""wc_accessleft"":"""",""wc_accessright"":""104"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""rfl"",""wc_addinfo"":""""}";"{""image_small"":""images\/wc-af\/dynast1WC1f1.jpg"",""image"":""images\/wc-header\/dynast1fi2-q.jpg"",""alt"":"""",""caption"":""Aquarium im Dynasty Restaurant."",""width"":""100%"",""height"":""auto""}";"{""0"":""4"",""1"":""17""}";1;4/3/2015 17:20;18/08/2021 16:24
WC Riemer See;wc-riemer-see;toilet;210;Ã–ffentliche Toilette mit Pflegeliege am Badesee, zugÃ¤nglich mit EuroschlÃ¼ssel.;<p>Die Toilette ist in einem Container untergebracht, am Nordufer des Riemer Sees, ganz ist Osten. Im ersten Container ist das Kiosk der Wasserwacht und ein paar TÃ¼ren weiter ist das WC. Die Toilette hat zwar eine Pflegeliege, ist aber insgesamt in einem sehr vernachlÃ¤ssigten Zustand.</p>;1;4.812.713.285;11.707.882.281.858.200;4.164.041.132.498;86.292.890.226.931;47.440.232.036.208;16;Riemer See;;;81829;MÃ¼nchen;Bayern;Deutschland;;;;"{""wc_shortname"":""ba-riemer1WC1"",""wc_plan"":""ba-riemer1WC1"",""wc_fotos"":""ba-riemer1WC1f2, ba-riemer1WC1f1"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":"""",""wc_easy"":""Die Toilette ist gut. \r\nDer WC-Sitz ist etwas hoch. \r\nEs gibt eine Pflegeliege."",""wc_euro"":""1"",""wc_doorknob"":""85"",""wc_doortaster"":"""",""wc_dooropens"":""al"",""wc_doorautopen"":""nz"",""wc_door_width"":""95"",""wc_room_diameter"":""150"",""wc_roominfos"":""<p>Die<strong> Pflegeliege<\/strong> ist normalerweise an die Wand geklappt und wird erst, wenn die T\u00fcr zu ist, runtergeklappt. Das Waschbecken ist rechts von der T\u00fcr. Links und rechts davon sind B\u00fcgel, der linke ist beweglich, der rechte fest. Der Spiegel \u00fcber dem Waschbecken h\u00e4ngt auf 105 cm Unterkante. Neben Dem WC h\u00e4ngt, aus der Sitzposition gesehen, rechts eine Notrufschnur auf 70cm \u00fcber dem Boden herunter. Die Sp\u00fclung kann man an der Wand hinter dem WC-Becken und im rechten B\u00fcgel ausl\u00f6sen.<\/p>"",""wc_seat"":""50"",""wc_accessleft"":""75"",""wc_accessright"":""180"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lr"",""wc_addinfo"":""<p>Die Sp\u00fclung kann man an der Wand hinter dem WC-Becken und im rechten B\u00fcgel ausl\u00f6sen.<\/p>""}";"{""image_small"":""images\/wc-af\/ba-riemer1WC1f1.jpg"",""image"":""images\/wc-header\/ba-riemer3WC1f1q.jpg"",""alt"":""Riemer See- Flache einstiegsrampe"",""caption"":""Container mit Seekiosk und Eingang zum behindertengerechten WC."",""width"":""100%"",""height"":""auto""}";"{""0"":""4"",""1"":""11""}";1;7/3/2015 10:40;10/06/2021 08:09
WC Ostbahnhof MÃ¼nchen;wc-ostbahnhof-muenchen;toilet;192;Ã–ffentliche Toilette im Bahnhof, zugÃ¤nglich mit EuroschlÃ¼ssel.;"<p>Diese Bahnhofstoilette ist im Zwischengeschoss gegenÃ¼ber der Information, im Zentralbereich. Mitten auf dem Orleansplatz steht ein AufzughÃ¤uschen. Mit diesem Aufzug gelangt man ist Zwischengeschoss.<br />Betreiber: rail &amp; fresh WC-Center.<br />Der Weg vor dem WC ist etwas abschÃ¼ssig.</p>
<p></p>";1;481.284.862;1.160.268.034.858.010;41.655.087.863.463;85.525.923.495.113;47.441.236.484.627;16;Orleansplatz;;;81667;MÃ¼nchen;Bayern;Deutschland;02736 2 72 16 ;;;"{""wc_shortname"":""bf-ostbah1WC"",""wc_plan"":""bf-ostbah1WC1"",""wc_fotos"":""bf-ostbah1fWC2, bf-ostbah1fWC1, bf-ostbah1fWC4"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""<p>Die Sp\u00fclung wird hinter dem WC-Becken auf 110cm mit einem Sensor ausgel\u00f6st.<\/p>"",""wc_easy"":""Die Toilette ist okay.\r\nDer WC-Sitz ist etwas niedrig.  "",""wc_euro"":""1"",""wc_doorknob"":""105"",""wc_doortaster"":"""",""wc_dooropens"":""al"",""wc_doorautopen"":""nz"",""wc_door_width"":""88"",""wc_room_diameter"":""150"",""wc_roominfos"":""<p>Das Licht ist immer an.<\/p>"",""wc_seat"":""43"",""wc_accessleft"":""70"",""wc_accessright"":""95"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lr"",""wc_addinfo"":""""}";"{""image_small"":""images\/wc-af\/bf-ostbah1fWC2.jpg"",""image"":""images\/wc-header\/bf-orlean000-1fa1-org.jpg"",""alt"":"""",""caption"":""Ostbahnhof, Frontansicht."",""width"":""100%"",""height"":""auto""}";"{""0"":""2"",""1"":""4"",""2"":""7"",""3"":""12"",""4"":""20""}";1;10/3/2015 15:39;10/06/2021 08:09
WC Riem Arcaden;wc-riem-arcaden;toilet;210;Ã–ffentliche Toilette im Einkaufszentrum.;"<p><strong>Das rollstuhlgerechte WC der Riem Arcaden</strong> ist im Untergeschoss des Einkaufszentrums. Die Ã–ffnungszeiten bitte auf der Homepage der Riem Arcaden nachschauen. Das WC ist stufenlos Ã¼ber einen DIN-gerechten Riesen-Lift zu erreichen.</p>
<p>Das freundliche WC-Personal steht direkt vor der WC-Anlage und verwaltet den SchlÃ¼ssel.</p>
<p>Â </p>";1;481.322.372;116.909.747;41.638.817.123.964;86.161.444.237.191;4.744.402.031.644;14;Willy-Brandt-Platz;5;;81829;MÃ¼nchen ;Bayern;Deutschland;089 93 00 60;http://www.riem-arcaden.de;;"{""wc_shortname"":""ka-riemar1WC1"",""wc_plan"":""ka-riemar1WC1"",""wc_fotos"":""ka-riemar1fWC1"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":"""",""wc_easy"":""Die Toilette ist gut. \r\nDer WC-Sitz ist etwas hoch."",""wc_euro"":""ka"",""wc_doorknob"":"""",""wc_doortaster"":"""",""wc_dooropens"":""al"",""wc_doorautopen"":""nz"",""wc_door_width"":""100"",""wc_room_diameter"":""150"",""wc_roominfos"":""<p>Innen an der T\u00fcr ist ein B\u00fcgel auf 90 cm angebracht. Die Waschbeckenoberkante ist auf 82 cm. Das Becken ist in 30 cm Tiefe auf 70cm unterfahrbar. \u00dcber dem Waschbecken h\u00e4ngt eine Kippspiegel mit einem Griff auf 115 cm.<\/p>"",""wc_seat"":""50"",""wc_accessleft"":""109"",""wc_accessright"":""100"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lr"",""wc_addinfo"":""<p>Die WC-Sp\u00fclung ist im linken B\u00fcgel (aus der Sitzposition gesehen) integriert. Gleich daneben h\u00e4ngt eine Notrufschnur bis auf 35 cm \u00fcber dem Boden.<\/p>""}";"{""image_small"":""images\/wc-gm\/ka-riemar1fWC2.jpg"",""image"":""images\/wc-header\/ka-riemar1fWCq.jpg"",""alt"":"""",""caption"":""Die Beschilderung im Einkaufszentrum."",""width"":"""",""height"":""""}";"{""0"":""4"",""1"":""7"",""2"":""11""}";1;1/1/2009 0:00;31/05/2021 19:52
WC Alte Linde, Feldafing;wc-alte-linde;toilet;186;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte.;;1;479.539.019;112.682.734;41.845.871.686.734;83.375.362.758.865;47.311.442.713.425;14;Wieling;5;;82340;Feldafing;Bayern;Deutschland;08157 933 180;http://www.linde-wieling.de;hotel@linde-wieling.de;"{""wc_shortname"":""alteli1"",""wc_plan"":""alteli1WC1"",""wc_fotos"":""alteli1WC1f1"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""Das WC ist im Erdgeschoss, gleich bei der Rezeption."",""wc_easy"":""Der Raum ist (sehr) eng.\r\nDie T\u00fcr ist schmal.\r\nEin kleiner ( Schiebe- ) Rollstuhl passt rein.\r\nMan kann (den WC-Sitz) nur von vorn anfahren."",""wc_doorknob"":""105"",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":""80"",""wc_room_diameter"":""130"",""wc_roominfos"":""<p>Das Waschbecken ist links von der T\u00fcr. Es ist auf 66cm unterfahrbar, Oberkante 86cm. Der Wasserhahn ist in 115cm H\u00f6he.<\/p>"",""wc_seat"":""45"",""wc_accessleft"":""90"",""wc_accessright"":"""",""wc_numgrip"":""1"",""wc_wheregrip"":""l"",""wc_addinfo"":""""}";"{""image_small"":""images\/gastro-af\/alteli1fa1.jpg"",""image"":"""",""alt"":"""",""caption"":"""",""width"":"""",""height"":""""}";"{""0"":""4"",""1"":""7"",""2"":""17""}";1;1/1/2009 0:00;08/09/2020 13:01
